"","test_year","npredictors","region","brier_score"
"1",2010,1,1,0.0701
"2",2010,1,2,0.0897
"3",2010,1,3,0.1094
"4",2010,1,4,0.0925
"5",2010,1,5,0.1188
"6",2010,1,6,0.1174
"7",2010,1,7,0.0889
"8",2010,1,8,0.1398
"9",2010,1,9,0.0878
"10",2010,1,10,0.0871
"11",2010,1,11,0.1098
"12",2010,1,12,0.1013
"13",2010,2,1,0.0506
"14",2010,2,2,0.0906
"15",2010,2,3,0.0957
"16",2010,2,4,0.0844
"17",2010,2,5,0.1063
"18",2010,2,6,0.0926
"19",2010,2,7,0.0864
"20",2010,2,8,0.133
"21",2010,2,9,0.0737
"22",2010,2,10,0.089
"23",2010,2,11,0.1086
"24",2010,2,12,0.1071
"25",2010,3,1,0.0553
"26",2010,3,2,0.0885
"27",2010,3,3,0.0964
"28",2010,3,4,0.0783
"29",2010,3,5,0.1064
"30",2010,3,6,0.0955
"31",2010,3,7,0.0831
"32",2010,3,8,0.1288
"33",2010,3,9,0.0703
"34",2010,3,10,0.0826
"35",2010,3,11,0.108
"36",2010,3,12,0.1159
"37",2010,4,1,0.0605
"38",2010,4,2,0.0941
"39",2010,4,3,0.0927
"40",2010,4,4,0.0803
"41",2010,4,5,0.1041
"42",2010,4,6,0.0916
"43",2010,4,7,0.0789
"44",2010,4,8,0.1227
"45",2010,4,9,0.0695
"46",2010,4,10,0.0851
"47",2010,4,11,0.1013
"48",2010,4,12,0.1178
"49",2010,5,1,0.0712
"50",2010,5,2,0.1007
"51",2010,5,3,0.1007
"52",2010,5,4,0.0867
"53",2010,5,5,0.101
"54",2010,5,6,0.0926
"55",2010,5,7,0.077
"56",2010,5,8,0.1238
"57",2010,5,9,0.0626
"58",2010,5,10,0.0798
"59",2010,5,11,0.1036
"60",2010,5,12,0.1192
"61",2010,6,1,0.072
"62",2010,6,2,0.1037
"63",2010,6,3,0.0954
"64",2010,6,4,0.0812
"65",2010,6,5,0.0986
"66",2010,6,6,0.0881
"67",2010,6,7,0.0755
"68",2010,6,8,0.121
"69",2010,6,9,0.0619
"70",2010,6,10,0.0758
"71",2010,6,11,0.0989
"72",2010,6,12,0.1178
"73",2010,1,1,0.0679
"74",2010,1,2,0.1138
"75",2010,1,3,0.1064
"76",2010,1,4,0.0841
"77",2010,1,5,0.1246
"78",2010,1,6,0.121
"79",2010,1,7,0.1205
"80",2010,1,8,0.1125
"81",2010,1,9,0.1221
"82",2010,1,10,0.1014
"83",2010,1,11,0.102
"84",2010,1,12,0.1103
"85",2010,2,1,0.0524
"86",2010,2,2,0.1012
"87",2010,2,3,0.1062
"88",2010,2,4,0.0696
"89",2010,2,5,0.1068
"90",2010,2,6,0.0997
"91",2010,2,7,0.1131
"92",2010,2,8,0.1005
"93",2010,2,9,0.1132
"94",2010,2,10,0.0939
"95",2010,2,11,0.1007
"96",2010,2,12,0.1015
"97",2010,3,1,0.0564
"98",2010,3,2,0.1021
"99",2010,3,3,0.1016
"100",2010,3,4,0.0703
"101",2010,3,5,0.111
"102",2010,3,6,0.1008
"103",2010,3,7,0.1037
"104",2010,3,8,0.0982
"105",2010,3,9,0.1142
"106",2010,3,10,0.0887
"107",2010,3,11,0.0955
"108",2010,3,12,0.0969
"109",2010,4,1,0.0625
"110",2010,4,2,0.0986
"111",2010,4,3,0.1029
"112",2010,4,4,0.0731
"113",2010,4,5,0.1152
"114",2010,4,6,0.1048
"115",2010,4,7,0.1069
"116",2010,4,8,0.1037
"117",2010,4,9,0.1128
"118",2010,4,10,0.0836
"119",2010,4,11,0.0948
"120",2010,4,12,0.0963
"121",2010,5,1,0.0663
"122",2010,5,2,0.0959
"123",2010,5,3,0.099
"124",2010,5,4,0.0719
"125",2010,5,5,0.1142
"126",2010,5,6,0.1082
"127",2010,5,7,0.1035
"128",2010,5,8,0.101
"129",2010,5,9,0.1128
"130",2010,5,10,0.0788
"131",2010,5,11,0.0914
"132",2010,5,12,0.0912
"133",2010,6,1,0.0741
"134",2010,6,2,0.0988
"135",2010,6,3,0.0917
"136",2010,6,4,0.0785
"137",2010,6,5,0.1083
"138",2010,6,6,0.1032
"139",2010,6,7,0.1017
"140",2010,6,8,0.0957
